movieId,Title,genres,,,,,,,,
470,Machine,"Action,Romance,Comedy",,,,,,,,
471,Phillauri,"Fantasy,Comedy,Romance,Drama",,,,,,,,
472,Bhanwarey,Comedy,,,,,,,,
473,Anaarkali of Aarah,Drama,,,,,,,,
474,Naam Shabana,Thriller,,,,,,,,
475,Laali Ki Shaadi Mein Laaddoo Deewana,"Music,Comedy,Drama",,,,,,,,
476,Mirza Juuliet,Drama,,,,,,,,
478,Saanjh,"Drama,Family,Music",,,,,,,,
479,Begum Jaan,"Action,Drama,History",,,,,,,,
480,Noor,"Comedy,Romance,Drama,Adventure",,,,,,,,
481,Maatr,"Thriller,Drama",,,,,,,,
483,Meri Pyaari Bindu,"Drama,Romance",,,,,,,,
484,Sarkar 3,Crime,,,,,,,,
485,Half Girlfriend,"Romance,Drama",,,,,,,,
486,Jattu Engineer,"Comedy,Drama",,,,,,,,
487,Hindi Medium,"Comedy,Drama",,,,,,,,
488,Sachin: A Billion Dreams,"Documentary,Drama",,,,,,,,
489,Thodi Thodi Si Manmaaniyan,Romance,,,,,,,,
490,A Death in the Gunj,"Drama,Thriller",,,,,,,,
492,Sweetiee Weds NRI,"Comedy,Drama,Romance",,,,,,,,
493,Dobaara: See Your Evil,Horror,,,,,,,,
494,Flat 211,"Crime,Mystery,Thriller",,,,,,,,
495,Dear Maya,Drama,,,,,,,,
496,Raabta,"Romance,Thriller",,,,,,,,
497,Behen Hogi Teri,"Romance,Comedy,Drama",,,,,,,,
498,Love You Family,Drama,,,,,,,,
499,G Kutta Se,Drama,,,,,,,,
500,Bank Chor,"Comedy,Crime,Thriller",,,,,,,,
501,Tubelight,"Drama,War",,,,,,,,
502,Ek Haseena Thi Ek Deewana Tha,"History,Thriller",,,,,,,,
503,Guest iin London,Comedy,,,,,,,,
504,Jagga Jasoos,"Adventure,Comedy,Mystery,Romance",,,,,,,,
506,Lipstick Under My Burkha,"Comedy,Drama",,,,,,,,
507,Munna Michael,"Music,Action",,,,,,,,
508,Indu Sarkar,"Drama,History",,,,,,,,
509,Mubarakan,"Comedy,Drama",,,,,,,,
510,Gurgaon,"Crime,Thriller",,,,,,,,
511,Jab Harry Met Sejal,"Comedy,Drama,Romance",,,,,,,,
513,Bareilly Ki Barfi,"Romance,Comedy",,,,,,,,
514,A Gentleman,"Action,Comedy",,,,,,,,
515,Qaidi Band,"Drama,Music",,,,,,,,
517,Baadshaho,"Action,Thriller",,,,,,,,
518,Poster Boys,Comedy,,,,,,,,
519,Daddy,"Crime,Drama,History",,,,,,,,
520,Simran,"Drama,Crime,Thriller",,,,,,,,
521,Lucknow Central,"Drama,Action,Thriller",,,,,,,,
522,Patel Ki Punjabi Shaadi,Comedy,,,,,,,,
523,Newton,"Comedy,Drama",,,,,,,,
524,Bhoomi,"Action,Drama",,,,,,,,
525,The Final Exit,"Horror,Thriller",,,,,,,,
527,Haseena Parkar,"Crime,Drama",,,,,,,,
528,Judwaa 2,"Action,Comedy,Romance",,,,,,,,
531,Chef,"Drama,Comedy,Family",,,,,,,,
532,Ranchi Diaries,Drama,,,,,,,,
533,Secret Superstar,"Drama,Music",,,,,,,,
534,Golmaal Again,"Comedy,Horror,Action,Fantasy",,,,,,,,
535,Jia aur Jia,Drama,,,,,,,,
536,Rukh,"Mystery,Drama",,,,,,,,
538,Ribbon,"Drama,Family",,,,,,,,
539,Shaadi Mein Zaroor Aana,"Romance,Family",,,,,,,,
540,Qarib Qarib Singlle,"Comedy,Drama,Romance",,,,,,,,
541,Aksar 2,"Romance,Thriller",,,,,,,,
542,Panchlait,Drama,,,,,,,,
543,Tumhari Sulu,"Comedy,Drama",,,,,,,,
544,Dil Jo Na Keh Saka,Romance,,,,,,,,
546,Julie 2,"Drama,Romance,Thriller",,,,,,,,
547,Ajji,"Thriller,Crime",,,,,,,,
548,Kadvi Hawa,Drama,,,,,,,,
549,Tera Intezaar,"Thriller,Romance",,,,,,,,
550,Firangi,"Drama,Comedy",,,,,,,,
551,Sallu Ki Shaadi,Comedy,,,,,,,,
552,Monsoon Shootout,Thriller,,,,,,,,
553,Tiger Zinda Hai,"Action,Thriller",,,,,,,,
554,Wazir,"Thriller,Action,Crime",,,,,,,,
557,Airlift,"Drama,History,Action",,,,,,,,
558,Jugni,Drama,,,,,,,,
559,Kyaa Kool Hain Hum 3,Comedy,,,,,,,,
560,Mastizaade,"Romance,Comedy",,,,,,,,
561,Sanam Teri Kasam,"Drama,Romance",,,,,,,,
563,Fitoor,"Romance,Drama",,,,,,,,
564,Sanam Re,"Drama,Romance",,,,,,,,
565,Direct Ishq,"Action,Comedy,Romance",,,,,,,,
566,LoveShhuda,"Comedy,Romance",,,,,,,,
567,Neerja,"Drama,Thriller",,,,,,,,
568,Dhara 302,Drama,,,,,,,,
569,Aligarh,Drama,,,,,,,,
570,Bollywood Diaries,Drama,,,,,,,,
571,Love Shagun,"Comedy,Romance",,,,,,,,
573,Zubaan,"Drama,Music",,,,,,,,
574,Jai Gangaajal,"Drama,Action",,,,,,,,
